gene_id,gene,category,pdb_id,protein_id,structure_source,render_style,file,triangles,dimensions_mm,max_dim_mm,surface_area_cm2,shells,tiny_shells,watertight,aspect_ratio,difficulty
afp_fish,AFP / AFGP,Environmental Adaptation,1WFB,P04002,rcsb,cartoon,1WFB_cartoon.stl,16486,180.0 x 64.5 x 97.8,180.0,95.59,16,1,false,2.8,medium
lin28a,Lin28a,Regeneration,2CQF,Q9H9Z2,rcsb,cartoon,2CQF_cartoon.stl,31766,180.0 x 167.9 x 158.2,180.0,160.25,39,1,false,1.1,medium
cltx,Chlorotoxin,Expression,7X43,P45639,rcsb,cartoon,7X43_cartoon.stl,24176,180.0 x 119.9 x 156.0,180.0,243.3,40,0,false,1.5,medium
"","","","","","",cartoon,9C5S_cartoon.stl,9918,180.0 x 114.5 x 110.9,180.0,116.4,22,1,false,1.6,medium
hsf1_pv,HSF1,Stress Resistance,"",A0A9J6CAY1,alphafold,cartoon,A0A9J6CAY1_predicted_cartoon.stl,31606,103.6 x 93.6 x 180.0,180.0,101.79,18,1,false,1.9,medium
dsup,Dsup,Stress Resistance,"",P0DOW4,alphafold,cartoon,P0DOW4_predicted_cartoon.stl,164132,180.0 x 157.9 x 174.6,180.0,245.06,29,1,false,1.1,medium
pvlea,PvLEA,Stress Resistance,"",Q1XI25,alphafold,cartoon,Q1XI25_predicted_cartoon.stl,74130,173.9 x 154.9 x 180.0,180.0,391.83,41,1,false,1.2,medium
gsr_glutathione_recycling,GSR (glutathione reductase / GSR-1),Stress Resistance,1ALG,P00390,rcsb,cartoon,1ALG_cartoon.stl,11806,83.2 x 76.8 x 180.0,180.0,119.64,15,1,false,2.3,easy
"","","","","","",cartoon,5MEO_cartoon.stl,4072,111.4 x 180.0 x 100.9,180.0,46.89,6,1,false,1.8,easy
"","","","","","",cartoon,5VAQ_cartoon.stl,10256,47.4 x 94.8 x 180.0,180.0,52.45,9,1,false,3.8,easy
"","","","","","",cartoon,9QNG_cartoon.stl,4856,71.3 x 143.4 x 180.0,180.0,71.08,9,1,false,2.5,easy
